"filename", "language", "GDResource", "GDScript", "gdshader", "GDScene", "Markdown", "JSON", "XML", "Shell Script", "Properties", "C#", "comment", "blank", "total"
"d:\Programming\Godot\Astra\.godot\editor\builder.tres-folding-4ef7d0d9ccc2729ceb0b0608aee07ed5.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
"d:\Programming\Godot\Astra\.godot\editor\bus_layout.tres-folding-a5c5573606fcef89fa326b70fc16116f.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
"d:\Programming\Godot\Astra\.godot\editor\canon.tscn-editstate-3839457c7854cb96aac3af388c8cecea.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 174, 0, 0, 2, 176
"d:\Programming\Godot\Astra\.godot\editor\canon.tscn-folding-3839457c7854cb96aac3af388c8cecea.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 2, 6
"d:\Programming\Godot\Astra\.godot\editor\connector.tres-folding-2df21ff7a4dfe1241f84f68fc103cff3.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
"d:\Programming\Godot\Astra\.godot\editor\core.tres-folding-71e55a35323658a8cbd8fc88b53790a8.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
"d:\Programming\Godot\Astra\.godot\editor\crt.gdshader-folding-ddfed1e8a46d7d2e434a741c7ae3a669.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
"d:\Programming\Godot\Astra\.godot\editor\deploy.mp3-a90078829e75c737677510d149cad851.mp3str-folding-0dfd6dcbe67f37699d54ff4d510fb651.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
"d:\Programming\Godot\Astra\.godot\editor\door.tres-folding-2eae6db186ee2085e48c4f4faad4dab1.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
"d:\Programming\Godot\Astra\.godot\editor\editor_layout.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 78, 0, 0, 18, 96
